Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.582,1.271,1.418,1.033,0.735,0.813,0.518
CC,1.44,1.444,1.381,0.838,0.973,0.58,0.704
CI,0.682,1.282,1.392,0.806,0.642,0.629,0.461
