Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.83,0.349,0.066,0.261,0.236,0.348,-0.228,3.556
CC,1.442,1.315,1.654,0.551,0.641,0.967,0.293,0.387
CI,0.7,0.406,-0.146,0.226,0.183,-0.431,-0.245,-1.257
