Condition,slope,M_ratio_eq,M_ratio_uv,d_eq,da_uv
SC,2.191600217885396,0.5437986251499028,0.6628241878806461,1.6,1.274
CC,1.2852401986004978,0.5106588473433675,0.47819944380802853,1.963,1.839
CI,1.0,0.4357311284093195,0.4357311284093195,1.932,1.932
