Condition,slope,d1,da,meta_d,meta_da,M_ratio (da)
SC,1.0,0.643,0.3,0.67,0.582,1.938
CC,1.0,0.697,0.685,0.604,0.601,0.877
CI,1.0,0.525,0.252,0.354,0.323,1.28
