Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,2.192,1.6,1.274,1.438,0.844,0.899,0.663
CC,1.285,1.963,1.839,1.013,0.879,0.516,0.478
CI,1.0,1.932,1.932,0.842,0.842,0.436,0.436
