Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.847,0.878,0.7,0.532,0.486,1.167,0.337,0.694
CC,0.862,1.09,0.965,0.67,0.619,1.111,-0.013,0.641
CI,1.435,0.593,1.035,0.238,0.276,0.127,-1.115,0.267
