Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.23,1.651,1.549,0.861,0.945,0.522,0.61
CC,1.332,1.448,1.344,1.325,1.498,0.915,1.115
CI,1.502,1.524,1.278,2.09,2.461,1.371,1.925
