Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,3.201,1.454,1.828,0.804,1.086,-0.277,-0.523,0.594
CC,1.294,1.081,1.147,1.038,1.162,1.358,0.422,1.013
CI,1.745,1.095,1.229,0.854,1.048,0.595,0.057,0.853
