Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.061,1.565,1.592,0.747,0.768,0.477,0.483
CC,1.18,1.599,1.612,0.837,0.903,0.523,0.56
CI,1.948,1.608,1.661,0.759,0.955,0.472,0.575
