Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.523,1.863,1.554,0.904,1.069,0.485,0.688
CC,0.98,2.028,2.038,0.965,0.955,0.476,0.469
CI,1.0,1.783,1.783,0.849,0.849,0.477,0.477
