Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.556,1.297,1.549,0.938,1.116,1.633,-1.137,0.721
CC,1.418,0.927,1.15,0.726,0.839,0.919,-0.052,0.73
CI,1.025,0.999,1.023,0.632,0.64,1.141,0.486,0.626
