Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.799,1.683,1.57,0.922,0.814,1.101,0.166,0.519
CC,0.702,0.369,0.012,0.385,0.313,0.313,0.086,25.967
CI,0.914,0.657,0.569,0.559,0.533,0.613,-0.202,0.938
