Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.117,1.748,1.687,0.614,0.647,0.352,0.384
CC,1.053,2.107,2.076,2.321,2.38,1.102,1.146
CI,1.889,1.821,1.323,1.108,1.385,0.608,1.047
