Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.357,1.689,1.546,1.046,1.191,0.619,0.77
CC,2.813,2.017,1.416,0.985,1.313,0.488,0.927
CI,1.372,1.814,1.613,0.99,1.131,0.546,0.701
