Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.798,1.15,1.614,0.451,0.557,0.417,0.475,0.345
CC,0.768,0.683,0.395,0.5,0.431,0.593,-0.047,1.091
CI,1.825,0.707,1.472,0.268,0.333,-0.39,0.083,0.226
