Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,0.898,1.172,1.171,1.014,0.958,0.865,0.818
CC,1.114,1.489,1.497,0.857,0.901,0.575,0.602
CI,0.677,1.183,1.226,1.066,0.845,0.901,0.689
