Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,0.885,0.315,0.16,0.24,0.225,0.51,0.318,1.402
CC,1.798,0.262,0.846,0.085,0.105,0.511,-0.462,0.124
CI,2.563,0.715,1.419,0.371,0.489,-0.563,0.332,0.345
