Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.621,1.675,1.702,0.924,1.112,0.552,0.654
CC,1.707,1.723,1.753,0.838,1.023,0.487,0.584
CI,1.873,1.706,1.587,1.028,1.282,0.602,0.808
