Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.417,1.08,1.326,0.54,0.624,0.903,-1.078,0.471
CC,1.853,0.878,1.45,0.318,0.396,0.804,0.398,0.273
CI,1.321,0.706,1.088,0.327,0.368,-0.685,-0.522,0.338
