Condition,slope,M_ratio_eq,M_ratio_uv,d_eq,da_uv
SC,1.0627658134047546,0.868519955404477,0.8579448469433301,1.508,1.553
CC,1.0345965924675449,0.5090123706606061,0.5076087240250102,1.45,1.474
CI,1.3927891440144635,0.5000857427093051,0.5105843709605135,1.941,2.23
