Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.063,1.508,1.495,1.103,1.069,0.731,0.715
CC,1.035,1.45,1.444,1.318,1.295,0.909,0.897
CI,1.393,1.941,1.776,2.127,1.754,1.096,0.988
