Condition,slope,d1,da,meta_d,meta_da,M_ratio (da)
SC,1.063,1.508,1.553,1.294,1.333,0.858
CC,1.035,1.45,1.474,0.736,0.748,0.508
CI,1.393,1.941,2.23,0.991,1.139,0.511
