Condition,slope,d1,da,meta_d,meta_da,M_ratio (da)
SC,0.835,1.573,1.426,1.166,1.116,0.783
CC,0.827,1.34,1.207,1.026,0.998,0.826
CI,1.281,1.063,1.185,0.702,0.916,0.773
