Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.874,1.315,1.596,0.859,1.072,-4.106,0.198,0.671
CC,1.033,1.932,1.949,1.077,1.094,2.211,-0.088,0.561
CI,1.339,1.326,1.575,0.704,0.798,0.09,-0.866,0.507
