Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.463,1.499,1.558,0.716,0.836,0.478,0.536
CC,0.977,1.364,1.355,0.877,0.867,0.643,0.64
CI,2.221,1.298,1.525,1.007,1.299,0.776,0.852
