Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.658,1.742,1.712,0.896,1.085,0.515,0.634
CC,2.253,1.785,1.926,0.898,1.16,0.503,0.602
CI,1.082,1.855,1.865,1.112,1.155,0.599,0.619
