Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.0,0.643,0.643,0.296,0.296,0.344,-0.855,0.459
CC,1.0,0.697,0.697,0.333,0.333,0.058,-0.018,0.478
CI,1.0,0.525,0.525,0.277,0.277,-0.837,-0.154,0.528
