Condition,s (type1 zROC),d1 (EV),da,meta_d,meta_da,M_ratio (meta_d/d1),M_ratio (meta_da/da)
SC,1.514,1.43,1.356,0.994,1.172,0.695,0.865
CC,1.131,1.375,1.358,0.956,1.013,0.695,0.746
CI,1.031,1.454,1.442,1.012,1.027,0.696,0.712
