Condition,slope,d1,da,meta_d,meta_da,meta_da_yes,meta_da_no,M_ratio (da)
SC,1.181,1.134,1.206,0.835,0.901,0.332,0.312,0.747
CC,1.139,0.863,0.944,0.61,0.649,0.863,0.819,0.687
CI,0.531,0.627,0.133,0.549,0.364,0.587,0.14,2.745
